sentence,explicitness
"Tonight his father read of a Man who was sending out his army to conquer the world.", 1
"He did everything that way.", 3
"He understood Gaelic as well as English, but he did not comprehend his father's words.", 1
"Friends called a last farewell from the deck, handkerchiefs waved, many of them wet with tears.", 1
"His quick movements, his slim, straight figure, and his bright, piercing eyes showed he was the same boy who had broken the big rock in the pasture-field long before.", 1
"But as usual he conquered.", 3
"The Pacific does not always live up to her beautiful name, and she tossed the America about in a shocking manner.", 3
"He was the same busy G. L. he had been when a boy; always working, working, and he did not waste a moment on the voyage.", 1
"His friend pointed toward the horizon, and away off there against the sky stood the top of a snow-capped peak--Fujiyama!", 1
"He wondered why they seemed so familiar, until it suddenly dawned on him that their queer ricestraw coats made them look like a swarm of Robinson Crusoes who had just been rescued from their islands.", 3
"When he landed he found things still funnier.", 3
"It was all so pretty too, and so enchanting that the young missionary would fain have remained there.", 3
"A group gathered round Mackay, and in their eagerness began hammering each other with bamboo poles.", 3
"He was well-nigh bewildered, when above the din sounded the welcome music of an English voice.", 3
"But for some reason, Mackay scarcely knew why himself, he wanted to see another place.", 3
"It is separated from the mainland by a body of water called the Formosa Channel.", 1
"For nearly a month Mackay visited with him and studied the language.", 1
"The view from this harbor of the 'Beautiful Island' was an enchanting one.", 1
"They were really the famous rice-fields of Formosa, at this time of the year all under water.", 1
"The main thoroughfare wound this way and that, only seven or eight feet wide at its best.", 1
"It was a name the young missionary was destined to hear very frequently.", 1
"Fortunately the food was taken from their own stores, and in spite of the surroundings was quite appetizing.", 3
"The coolies who trotted in the rear were very much amazed and not a little amused at the actions of these foolish foreign devils...", 3
"He was a wonderful man certainly, they all agreed, and one whom it was not safe to oppose.", 3
"Kai Bok-su was not the sort to spend these dismal days repining.", 3
"Indeed he had no time, even had he been so inclined.", 3
"When the great stone of heathenism was broken, what love and kindness were revealed!", 3
"And Mackay was learning that his boyish dreams of glory were truly to be fulfilled.", 3
"But their troubles were not yet over.", 3
"The two were in high spirits, ready for any sort of adventure and they met some.", 3
"Our Master counts us worthy to suffer for him.", 3
"What were they to do?", 3
"The 'everlasting arms' were around them, for by midnight they reached Kelung.", 3
"It was the battle-song that brought back the young recruit's courage.", 3
"His testing time had come, and he had not failed after all.", 3
"Yes, Kai Bok-su knew all that, but he could not quite explain that it was just that which made the thought of a visit to them seem so alluring...", 3
"But at the front Mackay must be in spite of all warning.", 3
"The white men were in momentary danger of their lives.", 3
"But these poor people could not 'sing to the Lord,' for they had never yet so much as heard his name.", 3
"Evidently they were more anxious to go on a head-hunt than to act the part of hosts.", 3
"This was a delicate situation to handle, but Mackay put a bold front on it.", 3
"The merrymaking sounded to the visitors more like the howling of a pack of fiends...", 3
"It seemed impossible that he who had cured so many should become a victim himself.", 3
"Mackay could hardly believe it, but it seemed that there really was to be one.", 3
"And the British consul down in his old Dutch fort at Tamsui laughed heartily over the letter, knowing all about Kai Bok-su and the sort of fort he was building.", 3
"Kai Bok-su's heart swelled with joy.", 1
"He never realized what a blessing was the religion of Jesus Christ to a nation until he lived among a people who did not know Him.", 3
"His unwilling teacher was just about as hard to manage as his task, for the coolie did not take kindly to giving lessons.", 3
"This wild barbarian, with the fiery eyes and the black beard, was a terrible creature who gave one no rest night nor day.", 3
"It was well he was prepared, for his opponents came down upon him in full force.", 3
"He fairly took the wind out of their sails by showing he knew quite as much about Chinese religions as they did.", 3
"And that night he could not sleep for joy.", 1
"The two travelers were in the gayest mood.", 1
"The pathway crossed a grassy plain where groups of queer-looking, mouse-colored animals, half ox, half buffalo, with great spreading horns, strayed about...", 1
"The whole countryside seemed dotted with them.", 1
"His bright eyes took in everything, and he realized more and more the difficulties of the task before him.", 1
"Dr. Mackay was in the library of Oxford College, lecturing to his students, when the visitor entered.", 1
"It was a most kindly invitation and Dr. Mackay shook his visitor's hand warmly as he thanked him.", 1
"If Kai Bok-su, their stay and support, were to be taken away, what would become of them?", 3
"It was bravely said, just as Kai Bok-su might be expected to speak, and the English officer's eyes kindled with appreciation.", 3
"The words found a ready response in his heart.", 3
"He would have fallen asleep peacefully amidst bursting shells, but he had no opportunity.", 3
"His verdict sent a thrill of dismay through every heart that loved him...", 1
"""If I only had some ice,"" he muttered, knowing well he had none.""", 3
"To save such a life as Mackay's!", 3
"That was an absurd question, Mr. Dodd declared, and he immediately ordered that every bit of ice he had should be sent at once to the missionary's house.", 3
"The doctor hardly dared to breathe If he could only be kept asleep now, he had a chance.", 3
"But once more Kai Bok-su stayed behind.", 3
"It was a desperate undertaking, for French soldiers were now scattered through the country...", 3
"But it would take even greater difficulties than these to stop Kai Bok-su, and he began at once to lay plans for going on a tour.", 3
"Poor Kai Bok-su's heart was torn as he saw the ravages the mob had made on his churches.", 1
"But everywhere the heathen were in great glee.", 3
"Christianity had been destroyed with the chapels, they were sure.", 3
"The triumphant shout that the mission had been wiped out ceased completely, and the people declared that they had been fools to try to destroy the chapels...", 3
"He seemed to forget all about what had been done and was 'up and at it again.'", 3
"For Oxford College was such a place of inspiration under Kai Bok-su, that even the servants in the kitchen wanted to go out and preach the gospel.", 3
"The best he could get was a small craft quite open, only twelve feet long.", 1
"It was not a very fine vessel with which to brave the Pacific Ocean, but where was the crazy craft in which Kai Bok-su would not embark to go and tell the gospel to the heathen?", 3
"He had seen the phosphorescent lights often before, but never anything like this.", 1
"And then with a common impulse, the rowers swung round and pulled straight out to sea...", 3
"This was far better than he had expected.", 3
"The cook-missionary had evidently spread wonderful reports of Kai Bok-su and his gospel and so prepared the way.", 1
"And now he was really here!", 3
"It almost looked as if there was to be a riot, though the voices did not sound angry.", 3
"The tumult had been one of enthusiasm and not of dispute!", 1
"Kai Bok-su's heart gave a great bound.", 1
"It seemed too good to be true that all this crowd, representing five villages, was anxious to become followers of the God of heaven.", 1
"Morning brought a wonderful day for the Ki-lai plain.", 1
"It was like a day when freedom from slavery was announced.", 3
"There was but one business to do that day, and that was to get rid of their idols.", 3
"Soon the pile was blazing and crackling, and all the people, even the chiefs of the villages, vied with each other in burning up the idols they had so lately besought for blessings.", 1
"And so the temple was lighted up for a new kind of worship.", 3
"A Hoa lately followed his pastor to the home above, but many others remain.", 3
"But these are not all.", 3
"Few men come to die in the opinion that it is their latest hour; and there is nothing wherein the flattery of hope more deludes us;", 1
"Which happens by reason that we set too much value upon ourselves;", 1
"We will make all things go along with us;", 1
"None of us lays it enough to heart that he is but one:", 1
"If Caesar dared to say it, it is no cowardice in me to believe it.", 1
"People do not much care to recognise it.", 1
"it does not trouble them to be dead, but to die:", 1
"His physicians and friends, rejoicing at so happy an event, and coming to congratulate him, found themselves very much deceived,", 3
"This man, having surveyed death at leisure, was not only not discouraged at its approach, but eagerly sought it;", 1
"'tis far beyond not fearing death to taste and relish it.", 1
"The story of the philosopher Cleanthes is very like this:", 1
"As to the rest, he had no need of steel nor of blood:", 1
"'Tis a pleasant imagination to fancy a mind exactly balanced betwixt two equal desires:", 3
"There is no reason that has not its contrary, say the wisest of the philosophers.", 1
"It might, however, be said, on the contrary, that we hug and embrace this good so much the more earnestly,", 1
"Pleasure itself seeks to be heightened with pain; it is much sweeter when it smarts and has the skin rippled.", 1
"And so it is in everything: difficulty gives all things their estimation;", 1
"To forbid us anything is to make us have a mind to't:", 1
"to give it wholly up to us is to beget in us contempt.", 1
"Want and abundance fall into the same inconvenience:", 3
"Desire and fruition equally afflict us.", 1
"The rigors of mistresses are troublesome, but facility, to say truth, still more so;", 1
"Why did Poppea invent the use of a mask to hide the beauties of her face, but to enhance it to her lovers?", 3
"To what use serves the artifice of this virgin modesty, this grave coldness, this severe countenance,", 3
"Beauty, all powerful as it is, has not wherewithal to make itself relished without the mediation of these little arts.", 3
"Look into Italy, where there is the most and the finest beauty to be sold, how it is necessitated to have recourse to extrinsic means and other artifices to render itself charming,", 1
"I know not whether the utility would not surmount the damage.", 3
"The means of assaulting, I mean without battery or army, and of surprising our houses, increases every day more and more beyond the means to guard them;", 1
"I will neither fear nor save myself by halves.", 1
"If a full acknowledgment acquires the Divine favour, it will stay with me to the end:", 1
"There is the name and the thing: the name is a voice which denotes and signifies the thing;", 1
"the name is no part of the thing, nor of the substance;", 1
"'tis a foreign piece joined to the thing, and outside it.", 1
"God, who is all fulness in Himself and the height of all perfection, cannot augment or add anything to Himself within;", 1
"Thus is it that to God alone glory and honour appertain;", 1
"We are all hollow and empty; 'tis not with wind and voice that we are to fill ourselves;", 1
"we want a more solid substance to repair us:", 1
"Divinity treats amply and more pertinently of this subject, but I am not much versed in it.", 3
"It was also one of the principal doctrines of Epicurus;", 1
"These discourses are, in my opinion, very true and rational;", 1
"This is the letter.", 1
"Carneades was head of the contrary opinion, and maintained that glory was to be desired for itself,", 1
"This opinion has not failed to be the more universally followed, as those commonly are that are most suitable to our inclinations.", 3
"Aristotle gives it the first place amongst external goods;", 1
"I believe that, if we had the books Cicero wrote upon this subject, we should there find pretty stories;", 3
"If this were true, men need not be virtuous but in public;", 3
"Is there no more in it, then, but only slily and with circumspection to do ill?", 3
"If we do not take up of ourselves the rule of well-doing, if impunity pass with us for justice, to how many sorts of wickedness shall we every day abandon ourselves?", 3
"Virtue is a very vain and frivolous thing if it derive its recommendation from glory;", 1
"So to order it that actions may be known and seen is purely the work of fortune;", 1
"'tis chance that helps us to glory, according to its own temerity.", 1
"I have often seen her go before merit, and often very much outstrip it.", 1
"He who first likened glory to a shadow did better than he was aware of;", 3
"they are both of them things pre-eminently vain glory also, like a shadow, goes sometimes before the body, and sometimes in length infinitely exceeds it.", 1
"All the glory that I pretend to derive from my life is that I have lived it in quiet;", 1
"in quiet, not according to Metrodorus, or Arcesilaus, or Aristippus, but according to myself.", 1
"For seeing philosophy has not been able to find out any way to tranquillity that is good in common, let every one seek it in particular.", 3
"To what do Caesar and Alexander owe the infinite grandeur of their renown but to fortune?", 3
"An infinite number of brave actions must be performed without witness and lost, before one turns to account.", 1
"A man is not always on the top of a breach, or at the head of an army, in the sight of his general, as upon a scaffold;", 1
"he must run the hazard of his life against a henroost;", 1
"he must prick out single from his party, and alone make some attempts, according as necessity will have it.", 1
"Who thinks his death achieved to ill purpose if he do not fall on some signal occasion, instead of illustrating his death, wilfully obscures his life,", 3
"every man's conscience being a sufficient trumpet to him.", 1
"A man must go to the war upon the account of duty,", 1
"It is not for outward show that the soul is to play its part, but for ourselves within, where no eyes can pierce but our own;", 1
"A dozen men must be called out of a whole nation to judge about an acre of land;", 1
"Is it reasonable that the life of a wise man should depend upon the judgment of fools?", 3
"He that makes it his business to please them, will have enough to do and never have done;", 1
"'tis a mark that can never be aimed at or hit:", 1
"Let us not propose to ourselves so floating and wavering an end;", 1
"let the public approbation follow us there, if it will;", 1
"The mariner of old said thus to Neptune, in a great tempest: 'O God, thou wilt save me if thou wilt, and if thou choosest, thou wilt destroy me; but, however, I will hold my rudder straight.'", 1
"Oh, the license of judgments is a great disturbance to great affairs!", 3
"There is I know not what natural sweetness in hearing one's self commended; but we are a great deal too fond of it:", 3
"I care not so much what I am in the opinions of others, as what I am in my own;", 1
"I would be rich of myself, and not by borrowing.", 1
"Strangers see nothing but events and outward appearances;", 1
"everybody can set a good face on the matter, when they have trembling and terror within:", 1
"they do not see my heart, they see but my countenance.", 1
"One is right in decrying the hypocrisy that is in war;", 1
"for what is more easy to an old soldier than to shift in a time of danger, and to counterfeit the brave when he has no more heart than a chicken?", 3
"There are so many ways to avoid hazarding a man's own person, that we have deceived the world a thousand times before we come to be engaged in a real danger:", 1
"Thus we see how all the judgments that are founded upon external appearances, are marvellously uncertain and doubtful;", 1
"and that there is no so certain testimony as every one is to himself.", 1
"The dispersing and scattering our names into many mouths, we call making them more great;", 1
"But the excess of this disease proceeds so far that many covet to have a name, be it what it will.", 1
"This is very common;", 1
"we are more solicitous that men speak of us, than how they speak;", 1
"I, for my part, hold that I am not, but in myself;", 1
"I shall have no more handle whereby to take hold of reputation, neither shall it have any whereby to take hold of or to cleave to me;", 1
"As to my other name, every one may take it that will, and so, perhaps, I may honour a porter in my own stead.", 3
"And besides, though I had a particular distinction by myself, what can it distinguish, when I am no more?", 3
"Do we expect that at every musket-shot we receive, and at every hazard we run, there must be a register ready to record it?", 3
"We have not the thousandth part of ancient writings;", 1
"'tis fortune that gives them a shorter or longer life, according to her favour;", 1
"Men do not write histories of things of so little moment:", 1
"a man must have been general in the conquest of an empire or a kingdom;", 1
"The memory, not of the commanders only, but of battles and victories, is buried and gone;", 1
"If I had unknown events in my possession, I should think with great ease to out-do those that are recorded, in all sorts of examples.", 3
"Is it not strange that even of the Greeks and Romans, with so many writers and witnesses, and so many rare and noble exploits, so few are arrived at our knowledge:", 3
"It will be much if, a hundred years hence, it be remembered in general that in our times there were civil wars in France.", 3
"However little known the feelings or views of such a man may be on his first entering a neighbourhood, this truth is so well fixed in the minds of the surrounding families, that he is considered as the rightful property of some one or other of their daughters.", 3
"Mr. Bennet replied that he had not.", 1
"Mr. Bennet made no answer.", 1
"“You want to tell me, and I have no objection to hearing it.”", 3
"What is his name?", 1
"Is he married or single?", 1
"What a fine thing for our girls!”", 3
"“How so? how can it affect them?”", 3
"You must know that I am thinking of his marrying one of them.”", 1
"“Is that his design in settling here?”", 3
"But it is very likely that he may fall in love with one of them, and therefore you must visit him as soon as he comes.”", 1
"“I see no occasion for that.", 1
"When a woman has five grown-up daughters, she ought to give over thinking of her own beauty.”", 1
"“In such cases, a woman has not often much beauty to think of.”", 3
"“It is more than I engage for, I assure you.”", 3
"Only think what an establishment it would be for one of them.", 1
"Indeed you must go, for it will be impossible for us to visit him, if you do not.”", 1
"Lizzy is not a bit better than the others: and I am sure she is not half so handsome as Jane, nor half so good-humoured as Lydia.", 1
"But you are always giving her the preference.”", 1
"“They have none of them much to recommend them,” replied he: “they are all silly and ignorant like other girls; but Lizzy has something more of quickness than her sisters.”", 3
"You take delight in vexing me.", 1
"You have no compassion on my poor nerves.”", 3
"I have a high respect for your nerves.", 3
"They are my old friends.", 3
"I have heard you mention them with consideration these twenty years at least.”", 3
"“Ah, you do not know what I suffer.”", 3
"“It will be no use to us, if twenty such should come, since you will not visit them.”", 1
"“Depend upon it, my dear, that when there are twenty, I will visit them all.”", 3
"She was a woman of mean understanding, little information, and uncertain temper.", 1
"When she was discontented, she fancied herself nervous.", 1
"The business of her life was to get her daughters married: its solace was visiting and news.", 1
"Mr. Bennet was among the earliest of those who waited on Mr. Bingley.", 1
"It was then disclosed in the following manner.", 1
"Observing his second daughter employed in trimming a hat, he suddenly addressed her with,--“I hope Mr. Bingley will like it, Lizzy.”", 3
"“We are not in a way to know what Mr. Bingley likes,” said her mother, resentfully, “since we are not to visit.”", 3
"“But you forget, mamma,” said Elizabeth, “that we shall meet him at the assemblies, and that Mrs. Long has promised to introduce him.”", 1
"She has two nieces of her own.", 1
"She is a selfish, hypocritical woman, and I have no opinion of her.”", 1
"Mrs. Bennet deigned not to make any reply; but, unable to contain herself, began scolding one of her daughters.", 1
"Have a little compassion on my nerves.", 3
"You tear them to pieces.”", 3
"“Kitty has no discretion in her coughs,” said her father; “she times them ill.”", 3
"“I do not cough for my own amusement,” replied Kitty, fretfully.", 1
"“When is your next ball to be, Lizzy?”", 1
"“To-morrow fortnight.”", 1
"“What can be the meaning of that emphatic exclamation?” cried he.", 1
"I cannot quite agree with you there.", 3
"What say you, Mary?", 1
"For you are a young lady of deep reflection, I know, and read great books, and make extracts.”", 3
"Mary wished to say something very sensible, but knew not how.", 1
"“While Mary is adjusting her ideas,” he continued, “let us return to Mr. Bingley.”", 3
"“I am sick of Mr. Bingley,” cried his wife.", 1
"“I am sorry to hear that; but why did you not tell me so before?", 3
"It is very unlucky; but as I have actually paid the visit, we cannot escape the acquaintance now.”", 3
"Well, how pleased I am!", 1
"And it is such a good joke, too, that you should have gone this morning, and never said a word about it till now.”", 1
"“Now, Kitty, you may cough as much as you choose,” said Mr. Bennet; and, as he spoke, he left the room, fatigued with the raptures of his wife.", 3
"At our time of life, it is not so pleasant, I can tell you, to be making new acquaintances every day; but for your sakes we would do anything.", 3
"The rest of the evening was spent in conjecturing how soon he would return Mr. Bennet’s visit, and determining when they should ask him to dinner.", 1
"Her report was highly favourable.", 1
"Sir William had been delighted with him.", 1
"He was quite young, wonderfully handsome, extremely agreeable, and, to crown the whole, he meant to be at the next assembly with a large party.", 1
"Nothing could be more delightful!", 1
"To be fond of dancing was a certain step towards falling in love; and very lively hopes of Mr. Bingley’s heart were entertained.", 1
"In a few days Mr. Bingley returned Mr. Bennet’s visit, and sat about ten minutes with him in his library.", 1
"An invitation to dinner was soon afterwards despatched; and already had Mrs. Bennet planned the courses that were to do credit to her housekeeping, when an answer arrived which deferred it all.", 1
"Mrs. Bennet was quite disconcerted.", 1
"The girls grieved over such a number of ladies; but were comforted the day before the ball by hearing that, instead of twelve, he had brought only six with him from London, his five sisters and a cousin.", 1
"Mr. Bingley was good-looking and gentlemanlike: he had a pleasant countenance, and easy, unaffected manners.", 1
"His sisters were fine women, with an air of decided fashion.", 1
"His brother-in-law, Mr. Hurst, merely looked the gentleman; but his friend Mr. Darcy soon drew the attention of the room by his fine, tall person, handsome features, noble mien...", 1
"His character was decided.", 1
"He was the proudest, most disagreeable man in the world, and everybody hoped that he would never come there again.", 1
"Amongst the most violent against him was Mrs. Bennet, whose dislike of his general behaviour was sharpened into particular resentment by his having slighted one of her daughters.", 1
"You had much better dance.”", 1
"“I certainly shall not.", 1
"At such an assembly as this, it would be insupportable.", 1
"Your sisters are engaged, and there is not another woman in the room whom it would not be a punishment to me to stand up with.”", 3
"“Oh, she is the most beautiful creature I ever beheld!", 1
"Do let me ask my partner to introduce you.”", 1
"Mr. Bingley followed his advice.", 1
"Mr. Darcy walked off; and Elizabeth remained with no very cordial feelings towards him.", 1
"She told the story, however, with great spirit among her friends; for she had a lively, playful disposition, which delighted in anything ridiculous.", 1
"The evening altogether passed off pleasantly to the whole family.", 1
"Mrs. Bennet had seen her eldest daughter much admired by the Netherfield party.", 1
"Jane was as much gratified by this as her mother could be, though in a quieter way.", 1
"Elizabeth felt Jane’s pleasure.", 1
"With a book, he was regardless of time; and on the present occasion he had a good deal of curiosity as to the event of an evening which had raised such splendid expectations.", 1
"He had rather hoped that all his wife’s views on the stranger would be disappointed; but he soon found that he had a very different story to hear.", 3
"Jane was so admired, nothing could be like it.", 1
"Everybody said how well she looked; and Mr. Bingley thought her quite beautiful, and danced with her twice.", 1
"O that he had sprained his ancle in the first dance!”", 3
"I never in my life saw anything more elegant than their dresses.", 1
"Here she was interrupted again.", 1
"Mr. Bennet protested against any description of finery.", 1
"So high and so conceited, that there was no enduring him!", 1
"He walked here, and he walked there, fancying himself so very great!", 1
"Not handsome enough to dance with!", 1
"I wish you had been there, my dear, to have given him one of your set-downs.", 3
"I quite detest the man.”", 1
"When Jane and Elizabeth were alone, the former, who had been cautious in her praise of Mr. Bingley before, expressed to her sister how very much she admired him.", 1
"“He is just what a young-man ought to be,” said she, “sensible, good-humoured, lively; and I never saw such happy manners! so much ease, with such perfect good breeding!”", 1
"His character is thereby complete.”", 3
"“I was very much flattered by his asking me to dance a second time.", 1
"I did not expect such a compliment.”", 1
"Compliments always take you by surprise, and me never.", 1
"What could be more natural than his asking you again?", 1
"Well, he certainly is very agreeable, and I give you leave to like him.", 3
"You have liked many a stupider person.”", 3
"“Dear Lizzy!”", 1
"You never see a fault in anybody.", 1
"All the world are good and agreeable in your eyes.", 3
"I never heard you speak ill of a human being in my life.”", 3
"“I would wish not to be hasty in censuring anyone; but I always speak what I think.”", 1
"Affectation of candour is common enough; one meets with it everywhere.", 1
"Miss Bingley is to live with her brother, and keep his house; and I am much mistaken if we shall not find a very charming neighbour in her.”", 1
"Elizabeth listened in silence, but was not convinced: their behaviour at the assembly had not been calculated to please in general...", 1
"They were, in fact, very fine ladies; not deficient in good-humour when they were pleased, nor in the power of being agreeable where they chose it; but proud and conceited.", 1
"Between him and Darcy there was a very steady friendship, in spite of a great opposition of character.", 1
"In understanding, Darcy was the superior.", 1
"Bingley was by no means deficient; but Darcy was clever.", 1
"He was at the same time haughty, reserved, and fastidious; and his manners, though well bred, were not inviting.", 1
"In that respect his friend had greatly the advantage.", 1
"Bingley was sure of being liked wherever he appeared; Darcy was continually giving offence.", 1
"Darcy, on the contrary, had seen a collection of people in whom there was little beauty and no fashion, for none of whom he had felt the smallest interest, and from none received either attention or pleasure.", 1
"Miss Bennet he acknowledged to be pretty; but she smiled too much.", 3
"Within a short walk of Longbourn lived a family with whom the Bennets were particularly intimate.", 1
"Sir William Lucas had been formerly in trade in Meryton, where he had made a tolerable fortune, and risen to the honour of knighthood by an address to the king during his mayoralty.", 1
"The distinction had, perhaps, been felt too strongly.", 3
"It had given him a disgust to his business and to his residence in a small market town...", 1
"Lady Lucas was a very good kind of woman, not too clever to be a valuable neighbour to Mrs. Bennet.", 3
"The eldest of them, a sensible, intelligent young woman, about twenty-seven, was Elizabeth’s intimate friend.", 1
"That the Miss Lucases and the Miss Bennets should meet to talk over a ball was absolutely necessary; and the morning after the assembly brought the former to Longbourn to hear and to communicate.", 1
"“You began the evening well, Charlotte,” said Mrs. Bennet, with civil self-command, to Miss Lucas.", 3
"“Yes; but he seemed to like his second better.”", 3
"“My overhearings were more to the purpose than yours, Eliza,” said Charlotte.", 1
"Poor Eliza! to be only just tolerable.”", 3
"Mrs. Long told me last night that he sat close to her for half an hour without once opening his lips.”", 1
"“Are you quite sure, ma’am? Is not there a little mistake?” said Jane.", 1
"“I certainly saw Mr. Darcy speaking to her.”", 1
"With them he is remarkably agreeable.”", 1
"“I do not believe a word of it, my dear.", 3
"If he had been so very agreeable, he would have talked to Mrs. Long.", 3
"“I do not mind his not talking to Mrs. Long,” said Miss Lucas, “but I wish he had danced with Eliza.”", 1
"“Another time, Lizzy,” said her mother, “I would not dance with him, if I were you.”", 1
"“I believe, ma’am, I may safely promise you never to dance with him.”", 3
"If I may so express it, he has a right to be proud.”", 1
"“That is very true,” replied Elizabeth, “and I could easily forgive his pride, if he had not mortified mine.”", 3
"Vanity and pride are different things, though the words are often used synonymously.", 1
"A person may be proud without being vain.", 1
"Pride relates more to our opinion of ourselves; vanity to what we would have others think of us.”", 1
"“If I were as rich as Mr. Darcy,” cried a young Lucas, who came with his sisters, “I should not care how proud I was.", 1
"I would keep a pack of foxhounds, and drink a bottle of wine every day.”", 1
"The boy protested that she should not; she continued to declare that she would; and the argument ended only with the visit.", 1
"The ladies of Longbourn soon waited on those of Netherfield.", 1
"The visit was returned in due form.", 1
"By Jane this attention was received with the greatest pleasure; but Elizabeth still saw superciliousness in their treatment of everybody, hardly excepting even her sister, and could not like them...", 1
"She mentioned this to her friend, Miss Lucas.", 1
"If a woman conceals her affection with the same skill from the object of it, she may lose the opportunity of fixing him; and it will then be but poor consolation to believe the world equally in the dark.", 1
"We can all begin freely--a slight preference is natural enough; but there are very few of us who have heart enough to be really in love without encouragement.", 1
"In nine cases out of ten, a woman had better show more affection than she feels.", 1
"Bingley likes your sister undoubtedly; but he may never do more than like her, if she does not help him on.”", 1
"“But she does help him on, as much as her nature will allow.", 1
"If I can perceive her regard for him, he must be a simpleton indeed not to discover it too.”", 3
"“Remember, Eliza, that he does not know Jane’s disposition as you do.”", 1
"Jane should therefore make the most of every half hour in which she can command his attention.", 1
"When she is secure of him, there will be leisure for falling in love as much as she chooses.”", 1
"“Your plan is a good one,” replied Elizabeth, “where nothing is in question but the desire of being well married; and if I were determined to get a rich husband, or any husband, I dare say I should adopt it.", 1
"But these are not Jane’s feelings; she is not acting by design.", 1
"She has known him only a fortnight.", 1
"This is not quite enough to make her understand his character.”", 1
"Had she merely dined with him, she might only have discovered whether he had a good appetite; but you must remember that four evenings have been also spent together--and four evenings may do a great deal.”", 1
"Happiness in marriage is entirely a matter of chance.", 1
"They always continue to grow sufficiently unlike afterwards to have their share of vexation; and it is better to know as little as possible of the defects of the person with whom you are to pass your life.”", 3
"“You make me laugh, Charlotte; but it is not sound.", 3
"You know it is not sound, and that you would never act in this way yourself.”", 3
"Mr. Darcy had at first scarcely allowed her to be pretty: he had looked at her without admiration at the ball; and when they next met, he looked at her only to criticise.", 1
"He began to wish to know more of her; and, as a step towards conversing with her himself, attended to her conversation with others.", 1
"His doing so drew her notice.", 1
"It was at Sir William Lucas’s, where a large party were assembled.", 1
"“That is a question which Mr. Darcy only can answer.”", 3
"He has a very satirical eye, and if I do not begin by being impertinent myself, I shall soon grow afraid of him.”", 1
"“With great energy; but it is a subject which always makes a lady energetic.”", 3
"“You are severe on us.”", 3
"“It will be her turn soon to be teased,” said Miss Lucas.", 3
"Her performance was pleasing, though by no means capital.", 1
"Mary had neither genius nor taste; and though vanity had given her application, it had given her likewise a pedantic air and conceited manner, which would have injured a higher degree of excellence than she had reached.", 1
"Mr. Darcy stood near them in silent indignation at such a mode of passing the evening, to the exclusion of all conversation...", 1
"I consider it as one of the first refinements of polished societies.”", 1
"“Certainly, sir; and it has the advantage also of being in vogue amongst the less polished societies of the world: every savage can dance.”", 3
"Sir William only smiled.", 1
"“You saw me dance at Meryton, I believe, sir.”", 1
"“Yes, indeed, and received no inconsiderable pleasure from the sight.", 1
"Do you often dance at St. James’s?”", 1
"“Never, sir.”", 1
"“Do you not think it would be a proper compliment to the place?”", 1
"“It is a compliment which I never pay to any place if I can avoid it.”", 3
"“You have a house in town, I conclude?”", 1
"Mr. Darcy bowed.", 1
"He paused in hopes of an answer: but his companion was not disposed to make any...", 1
"Mr. Darcy, you must allow me to present this young lady to you as a very desirable partner.", 1
"You cannot refuse to dance, I am sure, when so much beauty is before you.”", 3
"“Indeed, sir, I have not the least intention of dancing.", 1
"I entreat you not to suppose that I moved this way in order to beg for a partner.”", 1
"Mr. Darcy, with grave propriety, requested to be allowed the honour of her hand, but in vain.", 1
"Elizabeth was determined; nor did Sir William at all shake her purpose by his attempt at persuasion.", 1
"“Mr. Darcy is all politeness,” said Elizabeth, smiling.", 3
"Elizabeth looked archly, and turned away.", 1
"Her resistance had not injured her with the gentleman, and he was thinking of her with some complacency, when thus accosted by Miss Bingley,--", 1
"“I can guess the subject of your reverie.”", 3
"“I should imagine not.”", 3
"What would I give to hear your strictures on them!”", 3
"“Your conjecture is totally wrong, I assure you.", 1
"My mind was more agreeably engaged.", 1
"I have been meditating on the very great pleasure which a pair of fine eyes in the face of a pretty woman can bestow.”", 1
"Miss Bingley immediately fixed her eyes on his face, and desired he would tell her what lady had the credit of inspiring such reflections.", 1
"“Miss Elizabeth Bennet.”", 1
"“Miss Elizabeth Bennet!” repeated Miss Bingley.", 1
"“I am all astonishment.", 1
"How long has she been such a favourite? and pray when am I to wish you joy?”", 3
"A lady’s imagination is very rapid; it jumps from admiration to love, from love to matrimony, in a moment.", 3
"I knew you would be wishing me joy.”", 3
"“Nay, if you are so serious about it, I shall consider the matter as absolutely settled.", 3
"You will have a charming mother-in-law, indeed, and of course she will be always at Pemberley with you.”", 3
"He listened to her with perfect indifference, while she chose to entertain herself in this manner; and as his composure convinced her that all was safe, her wit flowed along.", 1
"Mr. Bennet’s property consisted almost entirely in an estate of two thousand a year, which, unfortunately for his daughters, was entailed, in default of heirs male, on a distant relation...", 1
"Her father had been an attorney in Meryton, and had left her four thousand pounds.", 1
"She had a sister married to a Mr. Philips, who had been a clerk to their father and succeeded him in the business, and a brother settled in London in a respectable line of trade.", 1
"The village of Longbourn was only one mile from Meryton; a most convenient distance for the young ladies, who were usually tempted thither three or four times a week...", 1
"Their visits to Mrs. Philips were now productive of the most interesting intelligence.", 1
"Every day added something to their knowledge of the officers’ names and connections.", 1
"Their lodgings were not long a secret, and at length they began to know the officers themselves.", 1
"Mr. Philips visited them all, and this opened to his nieces a source of felicity unknown before.", 1
